epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5735.99,0.8887,0.47414,0.937,0.92716,0.89404,0.95761,0.75016,0.76237,0.41886,0.91052,0.007921,0.007921,0.007921
44,5876.88,0.88713,0.4732,0.93678,0.92272,0.89933,0.95536,0.74951,0.7592,0.41703,0.91023,0.0078715,0.0078715,0.0078715
45,6019.12,0.88048,0.47018,0.93637,0.9234,0.8969,0.95666,0.74924,0.76457,0.41494,0.91144,0.007822,0.007822,0.007822
46,6163.91,0.88571,0.46975,0.93528,0.92494,0.89644,0.95774,0.7518,0.75391,0.413,0.90939,0.0077725,0.0077725,0.0077725
47,6304.34,0.87752,0.46825,0.93507,0.92953,0.89138,0.9579,0.75173,0.75816,0.41492,0.90906,0.007723,0.007723,0.007723
48,6449.74,0.8799,0.46637,0.93269,0.93311,0.88787,0.95776,0.75291,0.75281,0.41346,0.90821,0.0076735,0.0076735,0.0076735
49,6596.08,0.87737,0.46654,0.93325,0.93193,0.88721,0.95661,0.75445,0.75156,0.41017,0.90838,0.007624,0.007624,0.007624
50,6736.85,0.86764,0.46016,0.93102,0.92501,0.8949,0.95873,0.75493,0.75233,0.41007,0.906,0.0075745,0.0075745,0.0075745
51,6881.24,0.87082,0.46237,0.93223,0.92229,0.90164,0.95957,0.75724,0.74682,0.40703,0.90486,0.007525,0.007525,0.007525
52,7026.92,0.8709,0.46173,0.92802,0.92143,0.90101,0.95803,0.75577,0.74453,0.40674,0.90467,0.0074755,0.0074755,0.0074755
53,7170.65,0.86935,0.4628,0.93243,0.92902,0.89331,0.95943,0.75778,0.74436,0.40787,0.90448,0.007426,0.007426,0.007426
54,7307.77,0.86121,0.45534,0.92685,0.91943,0.90053,0.95951,0.75658,0.74468,0.40643,0.90457,0.0073765,0.0073765,0.0073765
55,7453.14,0.86107,0.45579,0.92932,0.92614,0.89956,0.96076,0.75934,0.74124,0.40231,0.90367,0.007327,0.007327,0.007327
56,7597.16,0.86129,0.45805,0.92926,0.92274,0.89655,0.96127,0.75881,0.74205,0.40194,0.90273,0.0072775,0.0072775,0.0072775
57,7739.43,0.85928,0.45343,0.9278,0.92714,0.90072,0.96007,0.76061,0.73565,0.39873,0.90193,0.007228,0.007228,0.007228
58,7884.27,0.85268,0.45207,0.92822,0.91946,0.90627,0.96109,0.76259,0.73498,0.3997,0.90078,0.0071785,0.0071785,0.0071785
59,8029.45,0.85413,0.45378,0.926,0.92636,0.90014,0.96001,0.76273,0.73325,0.39974,0.90055,0.007129,0.007129,0.007129
60,8170.41,0.85293,0.45319,0.92864,0.92131,0.90095,0.95924,0.76146,0.73692,0.39955,0.9013,0.0070795,0.0070795,0.0070795
61,8316.24,0.8569,0.45315,0.92654,0.9213,0.90489,0.96119,0.76208,0.73424,0.39761,0.89946,0.00703,0.00703,0.00703
62,8462.77,0.85038,0.45065,0.92343,0.92623,0.89782,0.96032,0.76224,0.73335,0.39564,0.89926,0.0069805,0.0069805,0.0069805
63,8606.02,0.84912,0.45002,0.92541,0.91994,0.90465,0.96132,0.76333,0.73011,0.39394,0.89939,0.006931,0.006931,0.006931
64,8748.83,0.84712,0.44995,0.92095,0.92581,0.89667,0.96167,0.76406,0.73371,0.39425,0.9004,0.0068815,0.0068815,0.0068815
65,8893.47,0.84267,0.44622,0.92636,0.92284,0.90367,0.95943,0.76558,0.72679,0.3915,0.89982,0.006832,0.006832,0.006832
66,9037.44,0.8416,0.44509,0.92353,0.92396,0.89782,0.9609,0.76684,0.7264,0.39458,0.89724,0.0067825,0.0067825,0.0067825
67,9174.77,0.84308,0.4461,0.92333,0.92158,0.90153,0.96116,0.7663,0.72688,0.39421,0.89749,0.006733,0.006733,0.006733
68,9319.11,0.84083,0.44326,0.92184,0.92566,0.89768,0.96196,0.7652,0.72418,0.39138,0.89805,0.0066835,0.0066835,0.0066835
69,9463.57,0.84617,0.44639,0.92359,0.92308,0.90396,0.96091,0.76529,0.72739,0.3938,0.89837,0.006634,0.006634,0.006634
70,9605.14,0.8417,0.44409,0.92249,0.9209,0.90477,0.96147,0.76876,0.72281,0.39003,0.89645,0.0065845,0.0065845,0.0065845
71,9750.77,0.84416,0.44382,0.92106,0.92821,0.89701,0.96089,0.76781,0.71936,0.39008,0.89573,0.006535,0.006535,0.006535
72,9895.95,0.83727,0.44036,0.92223,0.92603,0.90488,0.9609,0.76925,0.71832,0.38848,0.89545,0.0064855,0.0064855,0.0064855
73,10033.8,0.83487,0.44207,0.92077,0.92417,0.90543,0.96219,0.76567,0.7167,0.38959,0.89504,0.006436,0.006436,0.006436
74,10183.7,0.83429,0.4386,0.92058,0.92721,0.90357,0.9629,0.77079,0.71945,0.38722,0.89551,0.0063865,0.0063865,0.0063865
75,10328,0.8309,0.4394,0.91956,0.9305,0.90106,0.9624,0.76774,0.72046,0.38807,0.89587,0.006337,0.006337,0.006337
76,10472.1,0.83352,0.43913,0.91905,0.92982,0.90153,0.96266,0.77044,0.71677,0.38811,0.89387,0.0062875,0.0062875,0.0062875
77,10615.3,0.82594,0.43873,0.91985,0.92369,0.90758,0.96251,0.77047,0.71416,0.38596,0.89325,0.006238,0.006238,0.006238
78,10762,0.83144,0.43888,0.91729,0.93028,0.90106,0.96275,0.77144,0.71309,0.38401,0.89325,0.0061885,0.0061885,0.0061885
79,10903.3,0.82608,0.43388,0.91787,0.92728,0.90361,0.96306,0.77242,0.71361,0.38279,0.89331,0.006139,0.006139,0.006139
80,11041.9,0.82395,0.43705,0.9191,0.9257,0.90685,0.96358,0.7731,0.71255,0.38359,0.89341,0.0060895,0.0060895,0.0060895
81,11186.1,0.82547,0.43777,0.92025,0.93032,0.90066,0.96283,0.77117,0.71143,0.38372,0.89274,0.00604,0.00604,0.00604
82,11332.1,0.82296,0.43484,0.91938,0.93141,0.90199,0.96252,0.77259,0.71394,0.38277,0.8935,0.0059905,0.0059905,0.0059905
83,11473.3,0.82449,0.43302,0.91666,0.92271,0.90766,0.96274,0.77206,0.71344,0.38204,0.89449,0.005941,0.005941,0.005941
84,11618.3,0.81742,0.43262,0.91648,0.92756,0.90383,0.96196,0.77273,0.71042,0.3808,0.89262,0.0058915,0.0058915,0.0058915
85,11763.7,0.81672,0.42949,0.91578,0.92582,0.90685,0.96284,0.77274,0.70822,0.38175,0.89144,0.005842,0.005842,0.005842
86,11903.3,0.82463,0.43352,0.91793,0.9232,0.90411,0.96253,0.7726,0.70748,0.38086,0.89081,0.0057925,0.0057925,0.0057925
87,12049.5,0.81978,0.43056,0.9165,0.92345,0.90871,0.9637,0.77455,0.70873,0.3798,0.89059,0.005743,0.005743,0.005743
88,12194.7,0.81325,0.42958,0.91426,0.92849,0.90349,0.96407,0.77442,0.70605,0.37978,0.89037,0.0056935,0.0056935,0.0056935
89,12340.1,0.81504,0.43102,0.91533,0.93121,0.9028,0.96473,0.7762,0.70474,0.37613,0.89023,0.005644,0.005644,0.005644
90,12481.4,0.81003,0.42752,0.91371,0.92644,0.90743,0.9646,0.77599,0.70467,0.37839,0.89008,0.0055945,0.0055945,0.0055945
91,12629.1,0.81516,0.42862,0.91332,0.92629,0.90697,0.96355,0.77768,0.70521,0.37752,0.89003,0.005545,0.005545,0.005545
92,12770.8,0.80789,0.42719,0.91382,0.92685,0.90812,0.96422,0.77817,0.70129,0.3756,0.889,0.0054955,0.0054955,0.0054955
93,12909.3,0.81059,0.42739,0.91323,0.92969,0.90581,0.96441,0.77739,0.70137,0.37547,0.88933,0.005446,0.005446,0.005446
94,13055,0.80963,0.42512,0.91161,0.92696,0.90477,0.96369,0.77564,0.70258,0.37362,0.89058,0.0053965,0.0053965,0.0053965
95,13197.6,0.8084,0.42381,0.91338,0.92526,0.90835,0.96401,0.77742,0.70009,0.37393,0.88902,0.005347,0.005347,0.005347
96,13339.6,0.80799,0.4253,0.91234,0.92782,0.90685,0.96521,0.7778,0.69885,0.37345,0.88836,0.0052975,0.0052975,0.0052975
97,13484.8,0.81307,0.42663,0.91589,0.92966,0.9043,0.96443,0.77853,0.69843,0.37185,0.88951,0.005248,0.005248,0.005248
98,13630.6,0.80463,0.42458,0.91182,0.92813,0.90268,0.96342,0.77799,0.6998,0.37397,0.8889,0.0051985,0.0051985,0.0051985
99,13773.3,0.80395,0.42264,0.91113,0.9241,0.90778,0.9641,0.77768,0.69973,0.37347,0.8883,0.005149,0.005149,0.005149
100,13917.5,0.80559,0.42287,0.91247,0.92585,0.90596,0.96374,0.7782,0.69975,0.37207,0.88907,0.0050995,0.0050995,0.0050995
101,14059.9,0.80233,0.4204,0.90959,0.92999,0.90542,0.96402,0.7782,0.6974,0.37404,0.88702,0.00505,0.00505,0.00505
102,14204.5,0.80319,0.4212,0.90963,0.93003,0.90592,0.96454,0.77931,0.69756,0.37304,0.88746,0.0050005,0.0050005,0.0050005
103,14344,0.80447,0.42306,0.91247,0.92547,0.9087,0.96436,0.78068,0.69527,0.37107,0.8872,0.004951,0.004951,0.004951
104,14485.6,0.80683,0.42178,0.91229,0.92296,0.91136,0.96409,0.77988,0.6959,0.37203,0.88723,0.0049015,0.0049015,0.0049015
105,14626,0.80364,0.42247,0.91062,0.92487,0.90739,0.96317,0.78034,0.69279,0.3693,0.8865,0.004852,0.004852,0.004852
106,14766.1,0.79471,0.41936,0.90919,0.92336,0.90835,0.96376,0.7797,0.69526,0.37136,0.88743,0.0048025,0.0048025,0.0048025
107,14907.8,0.79999,0.4206,0.91209,0.92655,0.90812,0.96549,0.78075,0.69194,0.36921,0.88611,0.004753,0.004753,0.004753
108,15049.9,0.80196,0.42166,0.909,0.92607,0.90893,0.96492,0.78123,0.69255,0.36946,0.88597,0.0047035,0.0047035,0.0047035
109,15193.3,0.79586,0.41736,0.90806,0.92643,0.90974,0.96488,0.78161,0.69125,0.36806,0.88597,0.004654,0.004654,0.004654
110,15335.7,0.79703,0.41799,0.90892,0.93178,0.90402,0.96435,0.78109,0.69141,0.3683,0.88561,0.0046045,0.0046045,0.0046045
111,15478.4,0.79292,0.41857,0.90791,0.92535,0.90905,0.96499,0.78273,0.68944,0.36783,0.88545,0.004555,0.004555,0.004555
112,15626.9,0.79496,0.41855,0.90848,0.93392,0.90245,0.96427,0.78177,0.69072,0.36931,0.88512,0.0045055,0.0045055,0.0045055
113,15768.4,0.79302,0.41627,0.9101,0.9292,0.90766,0.96495,0.78227,0.68938,0.3664,0.88512,0.004456,0.004456,0.004456
114,15911.7,0.79397,0.4161,0.90654,0.93147,0.90685,0.9656,0.78227,0.69076,0.36669,0.8851,0.0044065,0.0044065,0.0044065
115,16057.4,0.79262,0.4153,0.90656,0.92768,0.9099,0.96502,0.78322,0.69056,0.36685,0.88508,0.004357,0.004357,0.004357
116,16201.2,0.79517,0.41616,0.90872,0.93019,0.90503,0.96533,0.78305,0.68989,0.36503,0.88553,0.0043075,0.0043075,0.0043075
117,16344.1,0.78774,0.41452,0.90899,0.93044,0.90855,0.96497,0.78266,0.69122,0.36539,0.88556,0.004258,0.004258,0.004258
118,16488.4,0.78786,0.41359,0.90741,0.9269,0.91021,0.96602,0.78353,0.69141,0.36541,0.88593,0.0042085,0.0042085,0.0042085
119,16628.5,0.78656,0.41371,0.90411,0.92615,0.90993,0.96623,0.78445,0.68873,0.36608,0.88531,0.004159,0.004159,0.004159
120,16773.1,0.78581,0.41295,0.9048,0.92923,0.90853,0.9662,0.78465,0.68781,0.36548,0.88474,0.0041095,0.0041095,0.0041095
121,16919.2,0.78807,0.41403,0.90607,0.92813,0.91152,0.96584,0.78517,0.68741,0.36437,0.88503,0.00406,0.00406,0.00406
122,17063.7,0.78367,0.41024,0.90394,0.92801,0.90843,0.96582,0.78503,0.68576,0.36455,0.88443,0.0040105,0.0040105,0.0040105
123,17204.2,0.78362,0.41217,0.90986,0.92699,0.90797,0.96516,0.78576,0.684,0.36506,0.88393,0.003961,0.003961,0.003961
124,17345,0.78224,0.41064,0.90548,0.92779,0.90535,0.96514,0.78537,0.68444,0.36381,0.88418,0.0039115,0.0039115,0.0039115
125,17493.4,0.78691,0.41166,0.90514,0.92648,0.90905,0.96574,0.78521,0.68459,0.36431,0.88426,0.003862,0.003862,0.003862
126,17635.5,0.7807,0.40812,0.90338,0.92734,0.9072,0.96547,0.78515,0.68423,0.3641,0.88392,0.0038125,0.0038125,0.0038125
127,17781.2,0.78346,0.41067,0.90372,0.92512,0.91206,0.96601,0.7862,0.68327,0.36313,0.88387,0.003763,0.003763,0.003763
128,17926.9,0.77435,0.4079,0.90441,0.92737,0.90916,0.96555,0.7859,0.68323,0.36163,0.88375,0.0037135,0.0037135,0.0037135
129,18069.2,0.77699,0.40852,0.90613,0.92991,0.90847,0.9657,0.78633,0.6838,0.36218,0.88415,0.003664,0.003664,0.003664
130,18210.3,0.7818,0.41076,0.9057,0.93054,0.90835,0.96593,0.78665,0.68394,0.36168,0.88406,0.0036145,0.0036145,0.0036145
131,18354.1,0.77644,0.40891,0.90242,0.92583,0.91148,0.96569,0.78714,0.68192,0.36165,0.88305,0.003565,0.003565,0.003565
132,18496.4,0.77737,0.40769,0.90031,0.92788,0.91106,0.96618,0.78672,0.68099,0.36113,0.88286,0.0035155,0.0035155,0.0035155
133,18638.1,0.77455,0.40682,0.90411,0.92724,0.91148,0.96601,0.78656,0.68232,0.36081,0.88359,0.003466,0.003466,0.003466
134,18783.6,0.77347,0.40596,0.90125,0.92934,0.90743,0.96575,0.78617,0.68332,0.36156,0.88384,0.0034165,0.0034165,0.0034165
135,18928.4,0.77198,0.40561,0.90287,0.93084,0.90778,0.96544,0.7867,0.68226,0.36091,0.88342,0.003367,0.003367,0.003367
136,19069.2,0.7715,0.40441,0.90218,0.92526,0.91229,0.96593,0.78767,0.68101,0.36049,0.8832,0.0033175,0.0033175,0.0033175
137,19211.7,0.7714,0.40487,0.90262,0.92682,0.91006,0.9657,0.78772,0.68136,0.36047,0.88321,0.003268,0.003268,0.003268
138,19361,0.77393,0.40284,0.90309,0.92303,0.91449,0.9657,0.78737,0.6808,0.3599,0.8833,0.0032185,0.0032185,0.0032185
139,19501.8,0.76499,0.40262,0.90236,0.92367,0.91291,0.96614,0.78736,0.68085,0.35933,0.88321,0.003169,0.003169,0.003169
140,19647.1,0.76531,0.40273,0.89873,0.92313,0.91432,0.96648,0.7872,0.6815,0.35889,0.88347,0.0031195,0.0031195,0.0031195
141,19792.8,0.76822,0.40505,0.90119,0.92653,0.91252,0.96612,0.78836,0.68096,0.35901,0.88308,0.00307,0.00307,0.00307
142,19933.3,0.76796,0.40318,0.89881,0.93002,0.9094,0.9665,0.78791,0.68044,0.3588,0.88297,0.0030205,0.0030205,0.0030205
143,20074.8,0.76271,0.40123,0.89904,0.93241,0.90754,0.96687,0.7889,0.68014,0.35798,0.88294,0.002971,0.002971,0.002971
