epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6784.71,0.74776,0.39809,0.89919,0.92645,0.9094,0.967,0.79678,0.64964,0.35382,0.88182,0.007921,0.007921,0.007921
44,6956.39,0.74632,0.3983,0.8995,0.92504,0.91298,0.96558,0.79864,0.64547,0.35354,0.87935,0.0078715,0.0078715,0.0078715
45,7130.34,0.74009,0.39462,0.89834,0.93064,0.91138,0.96793,0.80066,0.64519,0.34819,0.8813,0.007822,0.007822,0.007822
46,7296.07,0.74265,0.3935,0.89725,0.92332,0.9168,0.96762,0.79988,0.64166,0.34625,0.88046,0.0077725,0.0077725,0.0077725
47,7464.95,0.73588,0.3915,0.89692,0.92145,0.91507,0.96714,0.80049,0.64308,0.35002,0.87881,0.007723,0.007723,0.007723
48,7637.22,0.73751,0.39221,0.8953,0.92369,0.91634,0.9672,0.80054,0.64728,0.34992,0.88077,0.0076735,0.0076735,0.0076735
49,7805.96,0.73502,0.38987,0.89552,0.93144,0.90963,0.96776,0.80324,0.64511,0.3467,0.88035,0.007624,0.007624,0.007624
50,7977.47,0.72519,0.38571,0.89336,0.9223,0.91756,0.9687,0.80633,0.6362,0.34333,0.87631,0.0075745,0.0075745,0.0075745
51,8143.85,0.72632,0.38759,0.8941,0.92113,0.91715,0.96732,0.80261,0.64249,0.34811,0.87826,0.007525,0.007525,0.007525
52,8315.83,0.72659,0.38499,0.89038,0.92937,0.91198,0.96855,0.80666,0.63735,0.34052,0.87693,0.0074755,0.0074755,0.0074755
53,8484.73,0.72756,0.38645,0.89541,0.93032,0.90997,0.96809,0.80364,0.63665,0.34296,0.87714,0.007426,0.007426,0.007426
54,8653.8,0.71749,0.38246,0.88914,0.92863,0.91388,0.96879,0.80637,0.63326,0.34107,0.87498,0.0073765,0.0073765,0.0073765
55,8826.23,0.71874,0.37927,0.89219,0.92441,0.91981,0.9683,0.80584,0.63807,0.341,0.87879,0.007327,0.007327,0.007327
56,8998.73,0.71654,0.38214,0.89137,0.91767,0.92217,0.96868,0.80839,0.63208,0.34123,0.8755,0.0072775,0.0072775,0.0072775
57,9165.29,0.71494,0.37779,0.89015,0.92854,0.91981,0.97039,0.80882,0.6273,0.33418,0.87358,0.007228,0.007228,0.007228
58,9337.94,0.70967,0.37758,0.88971,0.93338,0.90943,0.96894,0.80727,0.62953,0.33506,0.87614,0.0071785,0.0071785,0.0071785
59,9506.63,0.70952,0.37651,0.8878,0.94086,0.9072,0.96959,0.80896,0.62558,0.33448,0.87386,0.007129,0.007129,0.007129
60,9674.31,0.70752,0.37657,0.89046,0.93567,0.91171,0.96905,0.80826,0.63267,0.33546,0.87605,0.0070795,0.0070795,0.0070795
61,9847,0.71122,0.37766,0.88815,0.9287,0.91638,0.96973,0.80805,0.62578,0.33387,0.87386,0.00703,0.00703,0.00703
62,10014.3,0.70462,0.37395,0.88581,0.92695,0.92062,0.96917,0.81019,0.62626,0.33237,0.87491,0.0069805,0.0069805,0.0069805
63,10185.6,0.70646,0.37432,0.88836,0.93095,0.9158,0.96979,0.80898,0.62401,0.33147,0.87495,0.006931,0.006931,0.006931
64,10358.4,0.70327,0.37257,0.88431,0.92553,0.92187,0.97065,0.81177,0.62237,0.33208,0.87394,0.0068815,0.0068815,0.0068815
65,10523.6,0.69805,0.37136,0.88854,0.9284,0.91825,0.9702,0.81331,0.61869,0.32943,0.87147,0.006832,0.006832,0.006832
