epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5752.42,0.79995,0.42441,0.9118,0.92874,0.90039,0.96319,0.78171,0.68822,0.37851,0.88868,0.007921,0.007921,0.007921
44,5895.86,0.79798,0.425,0.91317,0.92502,0.9124,0.96501,0.78347,0.68379,0.37289,0.88853,0.0078715,0.0078715,0.0078715
45,6041.53,0.7893,0.42102,0.9105,0.92425,0.91391,0.96586,0.78308,0.68484,0.37275,0.8881,0.007822,0.007822,0.007822
46,6187.95,0.79444,0.42179,0.91041,0.92906,0.90627,0.96492,0.78664,0.6816,0.37075,0.88633,0.0077725,0.0077725,0.0077725
47,6330.63,0.78635,0.416,0.90991,0.92176,0.91061,0.96555,0.78545,0.68015,0.37087,0.88665,0.007723,0.007723,0.007723
48,6474.32,0.78684,0.41568,0.90771,0.9249,0.91202,0.96629,0.78635,0.68034,0.37015,0.88689,0.0076735,0.0076735,0.0076735
49,6625.6,0.78292,0.41847,0.9076,0.92848,0.9109,0.96547,0.78368,0.686,0.37041,0.88789,0.007624,0.007624,0.007624
50,6767.92,0.77558,0.41186,0.9062,0.92456,0.9104,0.9655,0.78705,0.67769,0.36777,0.88483,0.0075745,0.0075745,0.0075745
51,6915.3,0.77562,0.41285,0.9066,0.92182,0.91553,0.96534,0.78764,0.68014,0.36767,0.8868,0.007525,0.007525,0.007525
52,7062.52,0.7772,0.41094,0.90374,0.92472,0.9083,0.96494,0.7876,0.67559,0.36552,0.88562,0.0074755,0.0074755,0.0074755
53,7205.9,0.776,0.41168,0.90703,0.92745,0.90979,0.96572,0.78641,0.67698,0.36861,0.88457,0.007426,0.007426,0.007426
54,7347.87,0.76803,0.40742,0.90172,0.92456,0.91749,0.96538,0.78825,0.67107,0.36306,0.88373,0.0073765,0.0073765,0.0073765
55,7492.08,0.76799,0.40576,0.90465,0.92602,0.9111,0.9654,0.79167,0.67029,0.36165,0.88356,0.007327,0.007327,0.007327
56,7640.91,0.76804,0.40744,0.90428,0.92966,0.91252,0.96691,0.7919,0.67309,0.36152,0.88201,0.0072775,0.0072775,0.0072775
57,7785.63,0.76525,0.40371,0.90311,0.93032,0.91145,0.96689,0.78673,0.6682,0.35901,0.88208,0.007228,0.007228,0.007228
58,7932.82,0.76028,0.40589,0.90295,0.93223,0.90916,0.96615,0.79161,0.66974,0.36105,0.88199,0.0071785,0.0071785,0.0071785
59,8078.96,0.76091,0.40397,0.9019,0.93142,0.90999,0.96652,0.79215,0.66784,0.35894,0.88244,0.007129,0.007129,0.007129
60,8224.98,0.75846,0.40225,0.90356,0.92783,0.91038,0.96738,0.79319,0.66573,0.35896,0.882,0.0070795,0.0070795,0.0070795
61,8371.4,0.76224,0.40626,0.90177,0.93142,0.91518,0.96797,0.79214,0.66907,0.35872,0.88177,0.00703,0.00703,0.00703
62,8516.99,0.75686,0.40051,0.89936,0.92598,0.92059,0.96776,0.79158,0.66846,0.3583,0.88161,0.0069805,0.0069805,0.0069805
63,8666.4,0.75862,0.40162,0.90239,0.928,0.9127,0.96692,0.79199,0.6627,0.35716,0.88093,0.006931,0.006931,0.006931
64,8812.97,0.75516,0.3987,0.8978,0.92218,0.916,0.96688,0.79513,0.66382,0.35338,0.88161,0.0068815,0.0068815,0.0068815
65,8958.26,0.749,0.39824,0.90226,0.92165,0.92147,0.96697,0.79477,0.66344,0.35522,0.88109,0.006832,0.006832,0.006832
66,9099.81,0.74945,0.3985,0.89865,0.93495,0.90966,0.96725,0.79543,0.66144,0.35344,0.88013,0.0067825,0.0067825,0.0067825
67,9243.4,0.7489,0.39862,0.89913,0.92828,0.91503,0.96751,0.79527,0.66134,0.35407,0.87933,0.006733,0.006733,0.006733
68,9387.36,0.7468,0.39415,0.89718,0.93207,0.91139,0.9677,0.79402,0.65781,0.35185,0.87925,0.0066835,0.0066835,0.0066835
69,9533.6,0.74843,0.3977,0.89831,0.93154,0.91641,0.9685,0.79637,0.6549,0.35134,0.8783,0.006634,0.006634,0.006634
70,9681.22,0.74866,0.39674,0.89891,0.93472,0.91135,0.96834,0.8002,0.65348,0.35228,0.87679,0.0065845,0.0065845,0.0065845
71,9829.5,0.74795,0.39478,0.89657,0.9313,0.9146,0.96802,0.79919,0.6531,0.35066,0.87707,0.006535,0.006535,0.006535
72,9975.73,0.743,0.39246,0.8981,0.93413,0.91081,0.969,0.79813,0.65164,0.34906,0.87746,0.0064855,0.0064855,0.0064855
73,10121.4,0.73871,0.39293,0.89537,0.93071,0.91704,0.96962,0.79919,0.65229,0.34925,0.87768,0.006436,0.006436,0.006436
74,10267.5,0.73864,0.38976,0.89528,0.93764,0.90996,0.96793,0.80061,0.65388,0.35137,0.87786,0.0063865,0.0063865,0.0063865
75,10413.6,0.73583,0.38943,0.89514,0.93034,0.91483,0.96935,0.79976,0.65204,0.349,0.87684,0.006337,0.006337,0.006337
76,10555.5,0.73893,0.39016,0.8951,0.92643,0.91703,0.96832,0.79974,0.65017,0.3461,0.87683,0.0062875,0.0062875,0.0062875
77,10707.7,0.73282,0.38934,0.89599,0.93233,0.91186,0.96865,0.801,0.64575,0.34548,0.87515,0.006238,0.006238,0.006238
78,10855.2,0.7359,0.38983,0.89242,0.93447,0.91356,0.96893,0.80082,0.64709,0.34391,0.87624,0.0061885,0.0061885,0.0061885
79,10994.8,0.73121,0.3866,0.89373,0.93349,0.91443,0.96887,0.80061,0.6486,0.34475,0.87581,0.006139,0.006139,0.006139
80,11139.5,0.72944,0.38794,0.89407,0.92444,0.92163,0.96904,0.80125,0.64739,0.34432,0.87542,0.0060895,0.0060895,0.0060895
81,11286.6,0.72787,0.38765,0.89501,0.93531,0.91275,0.96913,0.80314,0.64751,0.34355,0.87553,0.00604,0.00604,0.00604
82,11434.7,0.72869,0.38623,0.89483,0.92595,0.92032,0.9693,0.8027,0.64353,0.34244,0.87474,0.0059905,0.0059905,0.0059905
83,11575.9,0.72807,0.38314,0.89257,0.93164,0.91518,0.96877,0.8035,0.64465,0.34333,0.87555,0.005941,0.005941,0.005941
84,11728.4,0.72344,0.38385,0.89255,0.92937,0.91659,0.96931,0.80427,0.64389,0.34174,0.87505,0.0058915,0.0058915,0.0058915
85,11875.4,0.72074,0.38059,0.89148,0.93216,0.91379,0.9689,0.8038,0.64036,0.3398,0.87355,0.005842,0.005842,0.005842
86,12020.3,0.72753,0.38392,0.8927,0.93282,0.91379,0.96925,0.80563,0.64245,0.34059,0.87522,0.0057925,0.0057925,0.0057925
87,12167,0.72378,0.38202,0.89208,0.92912,0.91831,0.96918,0.80432,0.64074,0.34116,0.87338,0.005743,0.005743,0.005743
88,12315.5,0.71947,0.38163,0.8899,0.92596,0.9204,0.96901,0.8047,0.64136,0.33954,0.87456,0.0056935,0.0056935,0.0056935
89,12457.1,0.72003,0.38253,0.89091,0.93178,0.91669,0.96945,0.80535,0.64171,0.33868,0.87537,0.005644,0.005644,0.005644
90,12602.4,0.71535,0.37984,0.88918,0.93305,0.9153,0.96881,0.80371,0.64173,0.33937,0.87499,0.0055945,0.0055945,0.0055945
91,12752.3,0.7188,0.38063,0.88872,0.92785,0.92004,0.96867,0.80707,0.63972,0.33876,0.87453,0.005545,0.005545,0.005545
92,12893.5,0.71364,0.37876,0.88995,0.92956,0.91703,0.9693,0.80714,0.63811,0.33643,0.87329,0.0054955,0.0054955,0.0054955
93,13038.1,0.71504,0.37875,0.88817,0.92986,0.91935,0.96934,0.80744,0.63365,0.33617,0.8724,0.005446,0.005446,0.005446
94,13183.6,0.71342,0.37587,0.88752,0.93386,0.91773,0.96989,0.80772,0.63367,0.3347,0.87255,0.0053965,0.0053965,0.0053965
95,13328.9,0.71358,0.37633,0.88869,0.9311,0.91715,0.9692,0.80705,0.63305,0.33561,0.87178,0.005347,0.005347,0.005347
96,13474.5,0.71369,0.37738,0.88847,0.93004,0.92027,0.97015,0.80718,0.63573,0.33533,0.87214,0.0052975,0.0052975,0.0052975
97,13618.3,0.71662,0.37812,0.89088,0.9337,0.91577,0.96929,0.80612,0.63367,0.33532,0.87221,0.005248,0.005248,0.005248
98,13770.2,0.70937,0.37486,0.88713,0.9298,0.91804,0.96972,0.80723,0.63332,0.3344,0.87123,0.0051985,0.0051985,0.0051985
99,13914.4,0.70743,0.37531,0.88659,0.93251,0.91767,0.97035,0.81035,0.63039,0.33304,0.87073,0.005149,0.005149,0.005149
100,14060.3,0.70985,0.37478,0.88827,0.93048,0.91846,0.96973,0.80892,0.63205,0.33414,0.87231,0.0050995,0.0050995,0.0050995
101,14207,0.70418,0.37167,0.88465,0.92746,0.9202,0.97072,0.81049,0.62959,0.33285,0.87109,0.00505,0.00505,0.00505
102,14349.6,0.70683,0.37285,0.88546,0.93067,0.919,0.97068,0.81004,0.62878,0.33266,0.87073,0.0050005,0.0050005,0.0050005
103,14494.2,0.70592,0.374,0.88691,0.93754,0.91366,0.97033,0.81003,0.62817,0.33221,0.87053,0.004951,0.004951,0.004951
104,14637.3,0.70729,0.37307,0.88643,0.93274,0.91715,0.97023,0.81118,0.62614,0.33414,0.86927,0.0049015,0.0049015,0.0049015
105,14781.3,0.70635,0.37455,0.886,0.93183,0.919,0.97021,0.81106,0.62466,0.33159,0.86978,0.004852,0.004852,0.004852
